variable,pregunta_codigo,pregunta_nombre,enunciado_pregunta,numero_seccion,seccion,tipo_variable,titulo_variable,enunciado_subvariable,etiqueta_corta,en_cubo,unidad_medida
encuestado_id,R1,,ID,99,Registro / Técnico,category,Encuestado ID,,,0,
ID,R1,,ID,99,Registro / Técnico,category,,,,0,
Sector,U1,,Sector,2,Ubicación / Hogar,category,,,,0,
Seccion,U2,,Seccion,2,Ubicación / Hogar,category,,,,0,
Manzana,U3,,Manzana,2,Ubicación / Hogar,category,,,,0,
V1,V1,Localidad,Localidad,1,Sociodemográfico / Identificación,category,Localidad,,,1,
V2,V2,Estrato,Estrato,1,Sociodemográfico / Identificación,category,Estrato,,,1,
P2,2,Formas de relacionarse en la diversidad,"Frente a personas de origen social, costumbres, creencias y opiniones distintas a las suyas o de las de su hogar, usted normalmente",3,Inclusión e Identidad,category,,,,1,
P3,3,Sobre castigos físicos a niñas y niños,"Diga por favor si está en desacuerdo o de acuerdo con la siguiente afirmación: ""Para educar a los niños y a las niñas está bien que los padres recurran a castigos físicos como palmadas""",3,Inclusión e Identidad,category,,,,1,
P7,7,Presenciar hechos violentos de discriminación,"Ahora voy a leerle una situación. Dígame si la presenció durante el último mes. Hechos violentos de discriminación en el espacio público, hacia personas por su condición étnica, identidad de género, orientación sexual, condición de discapacidad o nivel socioeconómico",3,Inclusión e Identidad,category,,,,1,
P8,8,Sentir discriminación,¿Usted se ha sentido discriminado(a) en Bogotá durante los últimos dos años?,3,Inclusión e Identidad,category,,,,1,
P9,9,Motivo para sentir discriminación,¿Cuál fue la principal razón por la que se sintió discriminado(a)?,3,Inclusión e Identidad,category,,,,1,
P10.1,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Las mujeres por naturaleza cuidan mejor a los(as) niños(as) que los hombres,,1,
P10.2,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Las mujeres por naturaleza hacen mejor los oficios del hogar que los hombres,,1,
P10.3,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Toda familia necesita un hombre que la proteja,,1,
P10.4,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,El rol de todo hombre es el de proteger y proveer a su familia,,1,
P10.5,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,La mujer es la principal responsable de prevenir un embarazo,,1,
P10.6,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,"Los hombres pueden ayudar en la casa con el trabajo doméstico, pero no es su responsabilidad.",,1,
P10.7,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,"Aunque las mujeres practiquen deportes profesionalmente, nunca tendrán el nivel de los hombres",,1,
P10.8,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,La mujer que se deja maltratar por su pareja es porque le gusta que la maltraten,,1,
P10.9,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Lo más grave de que un hombre maltrate a su pareja es que lo haga en público,,1,
P10.10,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,"En su opinión, una mujer que se viste con minifalda o ropa muy ajustada provoca que le falten al respeto en la calle",,1,
P10.11,10,Sobre la mujer,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,El deber de todo hombre es defender su hombría,,1,
P11.1,11,Situaciones presenciadas,Ahora voy a leerle una lista de situaciones. Dígame si las presenció durante el último mes.,4,Equidad de género,category,,"Acoso hacia las mujeres en el espacio público (calle, transporte)",,1,
P11.2,11,Situaciones presenciadas,Ahora voy a leerle una lista de situaciones. Dígame si las presenció durante el último mes.,4,Equidad de género,category,,Hechos violentos hacia las mujeres que afecten su integridad física y moral,,1,
