DIRECTORIO_MZ,DIRECTORIO_PRED,DIRECTORIO_HOG,DIRECTORIO_PER,periodo,SECTOR,Cod_Locali,Nom_Locali,Cod_UPL,Nom_UPL,A6x2,A6x3,C1,D1,E1,E1x1,G1,H1,C303,sexo_jefe,Ax201,Bx201,Cx201,Dx201,Ex201,Fx201,Gx201,Hx201,Ix201,Jx201,Ax202,ind_distribuciontareas_202,Jx402,Jx403,Kx404_1,Kx404_2,Kx404_3,Kx404_4,Kx404_5,Kx404_6,Lx404_1,Lx404_2,Lx404_3,Lx404_4,Lx404_5,Lx404_6,Mx404_1,Mx404_2,Mx404_3,Mx404_4,Mx404_5,Mx404_6,Nx404_1,Nx404_2,Nx404_3,Nx404_4,Nx404_5,Nx404_6,F405,G406,IPS_dia,IPS_noche,IPSJ_A,IPSJ_C,IPSJ_E,Dx704,ICG_D,Bx704,ICG_B,Ax102,Bx102,Cx102,Dx102,Ex102,Fx102,Gx102,A101,ind_salud_101,ind_salud_102,fexp_calp_anu,fexp_calh_anu
202501001,202501001001,20250100100101,2025010010010102,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,1,27,3,2,2,,3,2,2,2,5,8,1,1,1,1,1,1.0,1.0,,1,1,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,3,4.0,3.0,4.0,2.0,2.0,4,4.0,4,4.0,0,0,0,0,0,0,0,4,1,0,656.616293446902,255.487624676764
202501001,202501001002,20250100100201,2025010010020101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,0,66,2,2,2,,6,1,1,2,1,6,1,1,1,1,1,,,8.0,6,2,,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2.0,2.0,4.0,2.0,4.0,2,2.0,2,2.0,0,1,1,1,1,1,0,2,0,1,218.872097815634,255.487624676764
202501001,202501001003,20250100100301,2025010010030102,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,1,39,4,2,2,,3,1,1,2,3,8,1,1,3,3,3,3.0,1.0,,1,1,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,4,2,4.0,2.0,2.0,2.0,2.0,4,4.0,2,2.0,1,3,1,1,0,0,0,4,1,1,437.744195631268,255.487624676764
202501001,202501001004,20250100100401,2025010010040101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,0,44,3,1,1,,1,1,2,1,5,5,5,4,5,5,5,,,8.0,4,3,,,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,3.0,1.0,2.0,2.0,2.0,2,2.0,2,2.0,0,0,1,1,0,0,0,4,1,0,656.616293446902,255.487624676764
202501001,202501001005,20250100100501,2025010010050101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,0,32,4,1,1,,3,2,2,1,2,2,2,2,2,1,1,3.0,2.0,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,2.0,2.0,2.0,2,2.0,2,2.0,0,0,0,0,0,1,1,1,0,0,656.616293446902,255.487624676764
202501002,202501002001,20250100200101,2025010020010102,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,2,51,1,1,1,,5,1,2,1,7,5,5,5,4,4,7,,,5.0,1,1,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,3.0,2.0,4.0,4.0,1.0,1,1.0,3,3.0,0,0,0,0,0,0,0,3,0,0,984.924440170353,255.487624676764
202501002,202501002002,20250100200201,2025010020020101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,2,34,3,2,2,,1,1,2,2,1,1,1,1,1,1,1,1.0,1.0,8.0,2,1,,,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,4,1,4.0,1.0,4.0,4.0,2.0,2,2.0,2,2.0,1,1,1,2,1,3,2,2,0,2,656.616293446902,255.487624676764
202501002,202501002003,20250100200301,2025010020030101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,1,59,3,2,2,,2,1,2,2,1,3,3,8,3,3,3,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4.0,1.0,2.0,2.0,2.0,2,2.0,2,2.0,0,0,0,0,0,0,0,4,1,0,656.616293446902,255.487624676764
202501002,202501002004,20250100200401,2025010020040101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,0,61,4,2,2,,5,1,1,2,3,3,3,8,3,5,5,,,8.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,3,4.0,3.0,3.0,4.0,2.0,4,4.0,2,2.0,0,0,0,0,0,0,0,3,0,0,437.744195631268,255.487624676764
202501002,202501002005,20250100200501,2025010020050101,202501,Sector Sur Oriente,19,CIUDAD BOLIVAR,UPL03,Arborizadora,0,51,1,2,2,,1,1,2,2,1,1,1,1,1,1,1,,,,5,3,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2.0,2.0,2.0,2.0,2.0,4,4.0,2,2.0,1,1,1,2,3,3,1,2,0,2,328.308146723451,255.487624676764
