num_seccion;indice_pregunta;nombre;descripcion;rol;codigo;etiqueta_1;enunciado_1;instruccion;palabras_clave;cantidad_variables;indice_pregunta_bis;num_seccion_bis;dataviz_display;dataviz_chart_type;dataviz_order_type;dataviz_palette
99;0;;;;;R1;ID;;;1;0;99;0;;;
1;1;;;;;R2;Caracterización del hogar;;;1;1;1;0;;;
2;2;;;;;U1;Sector;;;1;2;2;0;;;
2;3;;;;;U2;Seccion;;;1;3;2;0;;;
2;4;;;;;U3;Manzana;;;1;4;2;0;;;
2;5;Clase vivienda;Rural o urbana;;;U4;Clase;;;1;5;2;1;donut;answer;category
2;6;;;;;U5;Dirección de la vivienda;;;1;6;2;0;;;
2;7;;;;;U6;CX;;;1;7;2;0;;;
2;8;;;;;U7;CY;;;1;8;2;0;;;
1;9;Hogares en la vivienda;;;;H1;Número de hogares dentro de la vivienda;;;1;9;1;1;bar;answer;main
1;10;Personas en el hogar;;;;H2;Número de personas del hogar;;;1;10;1;1;bar;answer;main
2;11;;;;;H3.P1;Datos Persona 1 - Jefe de Hogar;;;3;11;2;0;;;
2;12;;;;;H3.P2;Datos Persona 2;;;4;12;2;0;;;
2;13;;;;;H3.P3;Datos Persona 3;;;4;13;2;0;;;
2;14;;;;;H3.P4;Datos Persona 4;;;4;14;2;0;;;
2;15;;;;;H3.P5;Datos Persona 5;;;4;15;2;0;;;
2;16;;;;;H3.P6;Datos Persona 6;;;4;16;2;0;;;
2;17;;;;;H3.P7;Datos Persona 7;;;4;17;2;0;;;
2;18;;;;;H3.P8;Datos Persona 8;;;4;18;2;0;;;
2;19;;;;;H3.P9;Datos Persona 9;;;4;19;2;0;;;
99;20;;;;;H7.1;Selección de la persona a encuestar;;;1;20;99;0;;;
1;21;;;;;H7.2;Edad de la persona que va a encuestar;;;1;21;1;0;;;
1;22;Localidad;;;;V1;Localidad;;;1;22;1;1;bar;frecuency;main
1;23;Estrato;;;;V2;Estrato;;;1;23;1;1;bar;answer;main
1;24;Tipo de vivienda;;;;V3;Tipo de vivienda;;;1;24;1;0;;;
1;25;El lugar donde habita es:;;;;V4;El lugar donde habita es:;;;1;25;1;0;;;
3;26;Valores y costumbres;;;;1;Diga por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones;;;2;26;3;1;bar-multiple;answer;category
3;27;Formas de relacionarse en la diversidad;;;;2;Frente a personas de origen social, costumbres, creencias y opiniones distintas a las suyas o de las de su hogar, usted normalmente;;;1;27;3;1;bar;frecuency;main
3;28;Sobre castigos físicos a niñas y niños;;;;3;"Diga por favor si está en desacuerdo o de acuerdo con la siguiente afirmación: ""Para educar a los niños y a las niñas está bien que los padres recurran a castigos físicos como palmadas""";;;1;28;3;1;donut;frecuency;boolean_desc_2
3;29;Sobre discriminación y respeto la diferencia;;;;4;Dígame por favor su nivel de acuerdo o desacuerdo con las siguientes armaciones relacionadas con discriminación y respeto a la diferencia.;;;11;29;3;1;bar-multiple;answer;scale_asc_4
3;30;No le gustarían estos vecinos;;;;5;Diga a cuáles de las siguientes personas NO le gustaría tener como vecinos(as);;;17;30;3;1;bar-selection;answer;yes_selection
3;31;Sobre población LGBTIQ;;;;6;Usted considera que está bien que a las personas LGBTIQ, se les permita.;;;7;31;3;1;bar-yes-selection;answer;yes_selection
3;32;Presenciar hechos violentos de discriminación;;;;7;Ahora voy a leerle una situación. Dígame si la presenció durante el último mes. Hechos violentos de discriminación en el espacio público, hacia personas por su condición étnica, identidad de género, orientación sexual, condición de discapacidad o nivel socioeconómico;;;1;32;3;1;donut;frecuency;boolean_desc_2
3;33;Sentir discriminación;;;;8;¿Usted se ha sentido discriminado(a) en Bogotá durante los últimos dos años?;;;1;33;3;1;donut;frecuency;boolean_desc_2
3;34;Motivo para sentir discriminación;;;;9;¿Cuál fue la principal razón por la que se sintió discriminado(a)?;;;1;34;3;1;bar;frecuency;main
3;35;Otro motivo para sentir discriminación;;;;9.1;¿Cuál ?;;;1;35;3;0;;;
4;36;Sobre la mujer;;;;10;Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.;;roles, cuidado, proveer, proteger, oficios domésticos, maltrato, hombría, masculinidad, embarazo, planificación, espacio público, agresión, deportes, prácticas deportivas, labores domésticas.;11;36;4;1;bar-selection;answer;yes_selection
4;37;Situaciones presenciadas;;;;11;Ahora voy a leerle una lista de situaciones. Dígame si las presenció durante el último mes.;;;4;37;4;1;bar-yes-selection;answer;yes_selection
4;38;Sobre relaciones de pareja;;;;12;Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.;;;6;38;4;1;bar-selection;answer;yes_selection
4;39;Sobre tener hijos;;;;13;Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones;;maternidad, hijos, paternidad, reproducción, planificación, familia, masculinidad;5;39;4;1;bar-selection;answer;yes_selection
6;40;Participación en iniciativas ciudadanas;;;P14;14;Por su propia iniciativa, ¿usted actualmente participa o ha participado en los últimos doce (12) meses en algún proyecto, actividad o campaña orientada al mejoramiento de…;;;8;40;6;1;bar-yes-selection;answer;yes_selection
6;41;Formas de participación;;;;15;¿De las siguientes formas de participación, dígame cuáles conoce;;;12;41;6;1;bar-yes-selection;answer;yes_selection
6;42;Motivación para votar;;;;16;¿Usted en general, se siente mucho, poco o nada motivado para votar por…?;Aplica para mayores de 18 años.;;10;42;6;1;bar-multiple;answer;scale_asc_4
6;43;Votar por;;;;17;En los últimos 5 años, usted ha votado por.;Aplica para mayores de 18 años;;10;43;6;1;bar-yes-selection;answer;yes_selection
6;44;Participación en procesos asociativos;;;;18;¿Usted ha participado en alguno de los siguientes tipos de procesos asociativos/organizaciones sociales?;;;6;44;6;1;bar-yes-selection;answer;yes_selection
6;45;Participación en espacios Distrito;;;;19;¿Usted ha participado en alguno de los siguientes espacios promovidos por el Distrito?;;;15;45;6;1;bar-yes-selection;answer;yes_selection
6;46;Motivo principal de participación;;;;20;¿Cuál es la principal razón por la que participa?;Solo para quienes respondieron Sí en algunas de las opciones de las preguntas 22 y 23.;;2;46;6;1;bar;frecuency;category
6;47;;;;;20.1;Cuál ?;;;0;47;6;0;;;
