indice_pregunta;indice_variable;columna;codigo_variable;num_seccion;pregunta;titulo;tipo;etiqueta_orden;enunciado_2;etiqueta_enunciado;etiqueta_corta;en_cubo;tags;variable_nombre;unidad_medida
0;0;A;encuestado_id;;R1;Encuestado ID;category;;;;;0;IndicadorI+C;;
0;1;B;ID;;R1;;category;;;;;0;;;
1;2;C;Cara;;R2;;category;;;;;0;;;
2;3;D;Sector;;U1;;category;;;;;0;;;
3;4;E;Seccion;;U2;;category;;;;;0;;;
4;5;F;Manzana;;U3;;category;;;;;0;;;
5;6;G;Clase;;U4;;category;;;;;1;;Ubicación vivienda;
6;7;H;Direccion;;U5;;category;;;;;0;;;
7;8;I;CX;;U6;Latitud;category;;;;;0;IndicadorI+C;;
8;9;J;CY;;U7;Longitud;category;;;;;0;IndicadorI+C;;
9;10;K;H1;;H1;;number;;Número de hogares dentro de la vivienda;Número de hogares dentro de la vivienda;;1;;Hogares en la vivienda;hogares
10;11;L;H2;;H2;;number;;Número de personas del hogar;Número de personas del hogar;;1;;Personas por hogar;personas
11;12;M;H3.1;;H3.P1;;text;;Nombre de la persona 1 JEFE DE HOGAR;Nombre de la persona 1 JEFE DE HOGAR;;0;;;
11;13;N;H4.1;;H3.P1;;category;;Edad persona 1;Edad persona 1;;0;;;
11;14;O;H5.1;;H3.P1;;category;;Sexo persona 1;Sexo persona 1;;0;;;
12;15;P;H3.2;;H3.P2;;text;;Nombre de la persona 2;Nombre de la persona 2;;0;;;
12;16;Q;H4.2;;H3.P2;;category;;Edad persona 2;Edad persona 2;;0;;;
12;17;R;H5.2;;H3.P2;;category;;Sexo persona 2;Sexo persona 2;;0;;;
12;18;S;H6.2;;H3.P2;;text;;Parentesco con la persona que se reconoce como jefe o jefa del hogar, o la persona mayor (persona 1);Parentesco con la persona que se reconoce como jefe o jefa del hogar, o la persona mayor (persona 1);;0;;;
13;19;T;H3.3;;H3.P3;;text;;Nombre de la persona 3;Nombre de la persona 3;;0;;;
13;20;U;H4.3;;H3.P3;;category;;Edad persona 3;Edad persona 3;;0;;;
13;21;V;H5.3;;H3.P3;;category;;Sexo persona 3;Sexo persona 3;;0;;;
13;22;W;H6.3;;H3.P3;;text;;Parentesco con la persona que se reconoce como jefe o jefa del hogar, o la persona mayor (persona 1);Parentesco con la persona que se reconoce como jefe o jefa del hogar, o la persona mayor (persona 1);;0;;;
14;23;X;H3.4;;H3.P4;;text;;Nombre de la persona 4;Nombre de la persona 4;;0;;;
