Codigo;Area;Total Poblacion;Proporción;Casos;Tipo;Año
1;Usaquén;209;70.3;147;Exceso;2011
2;Chapinero;107;70.1;75;Exceso;2011
3;Santa Fe;148;74.3;110;Exceso;2011
4;San Cristóbal;385;72.5;279;Exceso;2011
5;Usme;141;82.3;116;Exceso;2011
6;Tunjuelito;219;67.1;147;Exceso;2011
7;Bosa;1412;70.0;988;Exceso;2011
8;Kennedy;397;74.8;297;Exceso;2011
9;Fontibón;44;79.5;35;Exceso;2011
10;Engativá;137;68.6;94;Exceso;2011
11;Suba;123;75.6;93;Exceso;2011
12;Barrios Unidos;103;71.8;74;Exceso;2011
13;Teusaquillo;32;65.6;21;Exceso;2011
14;Los Mártires;59;71.2;42;Exceso;2011
15;Antonio Nariño;72;80.6;58;Exceso;2011
16;Puente Aranda;163;76.7;125;Exceso;2011
17;La Candelaria;54;83.3;45;Exceso;2011
18;Rafael Uribe Uribe;290;73.8;214;Exceso;2011
19;Ciudad Bolívar;109;75.2;82;Exceso;2011
20;Sumapaz;105;57.1;60;Exceso;2011
99;Localidad Desconocida;129;66.7;86;Exceso;2011
0;Distrito;4438;71.8;3188;Exceso;2011
1;Usaquén;209;0.0;0;Delgadez;2011
2;Chapinero;107;0.0;0;Delgadez;2011
3;Santa Fe;148;1.4;2;Delgadez;2011
4;San Cristóbal;385;1.3;5;Delgadez;2011
5;Usme;141;0.7;1;Delgadez;2011
6;Tunjuelito;219;2.7;6;Delgadez;2011
7;Bosa;1412;0.6;9;Delgadez;2011
8;Kennedy;397;1.3;5;Delgadez;2011
9;Fontibón;44;0.0;0;Delgadez;2011
10;Engativá;137;1.5;2;Delgadez;2011
11;Suba;123;0.8;1;Delgadez;2011
12;Barrios Unidos;103;1.0;1;Delgadez;2011
13;Teusaquillo;32;0.0;0;Delgadez;2011
14;Los Mártires;59;0.0;0;Delgadez;2011
15;Antonio Nariño;72;1.4;1;Delgadez;2011
16;Puente Aranda;163;0.0;0;Delgadez;2011
17;La Candelaria;54;1.9;1;Delgadez;2011
18;Rafael Uribe Uribe;290;0.0;0;Delgadez;2011
19;Ciudad Bolívar;109;0.0;0;Delgadez;2011
20;Sumapaz;105;2.9;3;Delgadez;2011
99;Localidad Desconocida;129;1.6;2;Delgadez;2011
0;Distrito;4438;0.9;39;Delgadez;2011
1;Usaquén;595;71.9;428;Exceso;2012
2;Chapinero;373;70.2;262;Exceso;2012
3;Santa Fe;541;73.8;399;Exceso;2012
4;San Cristóbal;582;69.1;402;Exceso;2012
5;Usme;470;71.5;336;Exceso;2012
6;Tunjuelito;606;70.8;429;Exceso;2012
7;Bosa;2062;72.4;1493;Exceso;2012
8;Kennedy;1911;72.2;1379;Exceso;2012
9;Fontibón;420;76.4;321;Exceso;2012
10;Engativá;784;72.7;570;Exceso;2012
11;Suba;859;70.9;609;Exceso;2012
