codigo_localidad,Fecha,codigo_UPL,Mx404_1,Mx404_2,Mx404_3,Mx404_4,Mx404_5,Mx404_6
5,2025-01-01,UPL05,No,Si,No,No,No,Si
8,2025-01-01,UPL13,No,Si,No,No,No,Si
5,2025-01-01,UPL20,No,No,No,Si,No,Si
15,2025-01-01,UPL22,No,No,No,No,Si,Si
3,2025-02-01,UPL23,Si,No,No,No,No,Si
12,2025-05-01,UPL33,Si,No,No,No,No,Si
19,2025-06-01,UPL03,No,No,Si,No,No,Si
19,2025-06-01,UPL03,No,No,Si,No,No,Si
2,2025-07-01,UPL24,No,No,No,Si,No,Si
9,2025-08-01,UPL12,Si,No,No,No,No,Si
13,2025-08-01,UPL32,No,No,No,Si,No,Si
18,2025-09-01,UPL22,No,No,Si,No,No,Si
11,2025-10-01,UPL10,No,Si,No,Si,No,Si
14,2025-11-01,UPL23,No,Si,No,No,No,Si
1,2025-11-01,UPL25,No,No,Si,No,No,Si
1,2025-12-01,UPL25,No,No,Si,No,No,Si
1,2025-12-01,UPL26,No,Si,No,No,No,Si
