codigo_localidad,dimension,categoria,indicador,valor,ic_inf,ic_sup,n_muestral,poblacion_expandida
19,carga_cuidado,Carga concentrada en mujer,pct_hogares,0.4412,0.4102,0.4722,378,164902
19,carga_cuidado,Carga compartida,pct_hogares,0.5588,0.5278,0.5898,480,217416
11,carga_cuidado,Carga concentrada en mujer,pct_hogares,0.3187,0.2971,0.3403,574,223109
11,carga_cuidado,Carga compartida,pct_hogares,0.6813,0.6597,0.7029,1228,477773
17,carga_cuidado,Carga concentrada en mujer,pct_hogares,0.3604,0.2837,0.4371,52,4227
17,carga_cuidado,Carga compartida,pct_hogares,0.6396,0.5629,0.7163,99,8260
19,sexo,Mujer,TAC_M,0.2287,0.2004,0.2570,489,214887
19,sexo,Hombre,TAC_M,0.1941,0.1652,0.2230,369,167431
11,sexo,Mujer,TAC_M,0.1854,0.1671,0.2037,1024,398214
11,sexo,Hombre,TAC_M,0.1658,0.1449,0.1867,778,302668
17,sexo,Mujer,TAC_M,0.1631,0.0912,0.2350,84,6812
17,sexo,Hombre,TAC_M,0.1402,0.0731,0.2073,67,5675
