codigo_localidad,anio,mes,hora,dia_semana,genero,grupo_incidente,prioridad,n_incidentes,tiempo_respuesta_mediana,pct_recepcion_nula
3.0,2025,1,0,domingo,FEMENINO,OTROS,BAJA,1,,1.0
3.0,2025,1,0,jueves,SIN_DATO,OTROS,BAJA,1,,1.0
3.0,2025,1,0,viernes,MASCULINO,OTROS,ALTA,1,,1.0
6.0,2025,1,0,domingo,SIN_DATO,CLINICO,ALTA,1,,1.0
6.0,2025,1,0,viernes,MASCULINO,OTROS,ALTA,1,,0.0
7.0,2025,1,0,lunes,FEMENINO,OTROS,CRITICA,1,,0.0
7.0,2025,1,0,sábado,SIN_DATO,OTROS,CRITICA,1,,1.0
7.0,2025,1,0,viernes,MASCULINO,OTROS,ALTA,2,,0.5
7.0,2025,1,0,viernes,FEMENINO,SUICIDIO,CRITICA,1,,0.0
8.0,2025,1,0,domingo,FEMENINO,CLINICO,ALTA,2,,0.0
8.0,2025,1,0,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
8.0,2025,1,0,sábado,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
8.0,2025,1,0,lunes,SIN_DATO,SUICIDIO,ALTA,2,,1.0
10.0,2025,1,0,jueves,SIN_DATO,OTROS,BAJA,1,,1.0
10.0,2025,1,0,viernes,FEMENINO,OTROS,MEDIA,1,,1.0
11.0,2025,1,0,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
11.0,2025,1,0,viernes,MASCULINO,OTROS,BAJA,1,,1.0
11.0,2025,1,0,sábado,SIN_DATO,SUICIDIO,MEDIA,1,,1.0
12.0,2025,1,0,viernes,FEMENINO,CLINICO,ALTA,1,,0.0
13.0,2025,1,0,lunes,MASCULINO,OTROS,BAJA,1,,1.0
13.0,2025,1,0,domingo,SIN_DATO,SUICIDIO,ALTA,1,,1.0
14.0,2025,1,0,martes,SIN_DATO,CLINICO,ALTA,1,,1.0
14.0,2025,1,0,sábado,MASCULINO,CLINICO,ALTA,1,,0.0
14.0,2025,1,0,lunes,SIN_DATO,OTROS,BAJA,1,,1.0
14.0,2025,1,0,viernes,SIN_DATO,OTROS,BAJA,2,,1.0
16.0,2025,1,0,jueves,MASCULINO,CLINICO,MEDIA,1,,0.0
16.0,2025,1,0,martes,FEMENINO,CLINICO,MEDIA,1,,1.0
16.0,2025,1,0,viernes,MASCULINO,OTROS,MEDIA,1,,0.0
16.0,2025,1,0,lunes,FEMENINO,SALUD_MENTAL,ALTA,1,,0.0
18.0,2025,1,0,viernes,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
18.0,2025,1,0,lunes,FEMENINO,SUICIDIO,ALTA,1,,1.0
19.0,2025,1,0,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
1.0,2025,1,1,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
3.0,2025,1,1,lunes,SIN_DATO,SUICIDIO,ALTA,1,,1.0
4.0,2025,1,1,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
4.0,2025,1,1,jueves,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
5.0,2025,1,1,viernes,SIN_DATO,OTROS,ALTA,1,,1.0
5.0,2025,1,1,viernes,SIN_DATO,SALUD_MENTAL,ALTA,1,,1.0
6.0,2025,1,1,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
6.0,2025,1,1,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
7.0,2025,1,1,sábado,SIN_DATO,CLINICO,MEDIA,1,,1.0
7.0,2025,1,1,domingo,MASCULINO,OTROS,ALTA,1,,0.0
7.0,2025,1,1,lunes,FEMENINO,OTROS,MEDIA,1,,0.0
7.0,2025,1,1,lunes,MASCULINO,OTROS,CRITICA,1,,1.0
7.0,2025,1,1,lunes,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
8.0,2025,1,1,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
8.0,2025,1,1,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
8.0,2025,1,1,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,1,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
8.0,2025,1,1,lunes,FEMENINO,SALUD_MENTAL,ALTA,1,,0.0
8.0,2025,1,1,lunes,SIN_DATO,SALUD_MENTAL,ALTA,1,,1.0
8.0,2025,1,1,sábado,SIN_DATO,SUICIDIO,MEDIA,1,,1.0
9.0,2025,1,1,viernes,FEMENINO,OTROS,CRITICA,1,,0.0
10.0,2025,1,1,lunes,SIN_DATO,CLINICO,CRITICA,1,,1.0
10.0,2025,1,1,domingo,FEMENINO,OTROS,ALTA,1,,0.0
10.0,2025,1,1,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
10.0,2025,1,1,lunes,FEMENINO,OTROS,CRITICA,1,,0.0
11.0,2025,1,1,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
14.0,2025,1,1,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
15.0,2025,1,1,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
16.0,2025,1,1,lunes,SIN_DATO,CLINICO,CRITICA,1,,1.0
18.0,2025,1,1,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
18.0,2025,1,1,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
18.0,2025,1,1,sábado,SIN_DATO,SALUD_MENTAL,MEDIA,1,,1.0
18.0,2025,1,1,viernes,SIN_DATO,SALUD_MENTAL,MEDIA,1,,1.0
19.0,2025,1,1,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
2.0,2025,1,2,viernes,SIN_DATO,CLINICO,CRITICA,1,,1.0
