Localidad,Total,Porcentaje,PobMujeres,Tasa,Fecha
Antonio Nariño,30.0,1.0,42420,70.72,2025-06-30
Tunjuelito,62.0,2.0,91399,67.83,2025-06-30
Rafael Uribe Uribe,98.0,3.2,193309,50.7,2025-06-30
La Candelaria,22.0,0.7,8108,271.34,2025-06-30
Barrios Unidos,48.0,1.6,73470,65.33,2025-06-30
Teusaquillo,78.0,2.5,85375,91.36,2025-06-30
Puente Aranda,125.0,4.1,128677,97.14,2025-06-30
Los Mártires,69.0,2.2,45219,152.59,2025-06-30
Sumapaz,0.0,0.0,1788,0.0,2025-06-30
Usaquén,112.0,3.6,308081,36.35,2025-06-30
Chapinero,64.0,2.1,86373,74.1,2025-06-30
Santa Fe,122.0,4.0,57117,213.6,2025-06-30
San Cristóbal,124.0,4.0,207856,59.66,2025-06-30
Usme,122.0,4.0,206244,59.16,2025-06-30
Ciudad Bolívar,230.0,7.5,345969,66.48,2025-06-30
Bosa,157.0,5.1,397156,39.53,2025-06-30
Kennedy,173.0,5.6,561439,30.81,2025-06-30
Fontibón,98.0,3.2,207179,47.3,2025-06-30
Engativá,188.0,6.1,436619,43.06,2025-06-30
Suba,215.0,7.0,652069,32.97,2025-06-30
Antonio Nariño,54.0,1.1,42420,127.3,2025-09-30
Tunjuelito,92.0,1.8,91399,100.66,2025-09-30
Rafael Uribe Uribe,174.0,3.5,193309,90.01,2025-09-30
La Candelaria,39.0,0.8,8108,481.01,2025-09-30
Barrios Unidos,104.0,2.1,73470,141.55,2025-09-30
Teusaquillo,138.0,2.7,85375,161.64,2025-09-30
Puente Aranda,208.0,4.1,128677,161.65,2025-09-30
Los Mártires,131.0,2.6,45219,289.7,2025-09-30
Sumapaz,0.0,0.0,1788,0.0,2025-09-30
Usaquén,210.0,4.2,308081,68.16,2025-09-30
Chapinero,111.0,2.2,86373,128.51,2025-09-30
Santa Fe,186.0,3.7,57117,325.65,2025-09-30
San Cristóbal,255.0,5.1,207856,122.68,2025-09-30
Usme,223.0,4.4,206244,108.12,2025-09-30
Ciudad Bolívar,415.0,8.2,345969,119.95,2025-09-30
Bosa,301.0,6.0,397156,75.79,2025-09-30
Kennedy,366.0,7.3,561439,65.19,2025-09-30
Fontibón,150.0,3.0,207179,72.4,2025-09-30
Engativá,394.0,7.8,436619,90.24,2025-09-30
Suba,393.0,7.8,652069,60.27,2025-09-30
Antonio Nariño,54.0,0.8,42420,127.3,2025-12-31
Tunjuelito,91.0,1.4,91399,99.56,2025-12-31
Rafael Uribe Uribe,169.0,2.6,193309,87.42,2025-12-31
La Candelaria,39.0,0.6,8108,481.01,2025-12-31
Barrios Unidos,104.0,1.6,73470,141.55,2025-12-31
Teusaquillo,134.0,2.1,85375,156.95,2025-12-31
Puente Aranda,206.0,3.2,128677,160.09,2025-12-31
Los Mártires,129.0,2.0,45219,285.28,2025-12-31
Sumapaz,0.0,0.0,1788,0.0,2025-12-31
Usaquén,208.0,3.2,308081,67.51,2025-12-31
Chapinero,110.0,1.7,86373,127.35,2025-12-31
Santa Fe,186.0,2.9,57117,325.65,2025-12-31
San Cristóbal,253.0,3.9,207856,121.72,2025-12-31
Usme,219.0,3.4,206244,106.18,2025-12-31
Ciudad Bolívar,421.0,6.6,345969,121.69,2025-12-31
Bosa,355.0,5.5,397156,89.39,2025-12-31
Kennedy,368.0,5.7,561439,65.55,2025-12-31
Fontibón,151.0,2.4,207179,72.88,2025-12-31
Engativá,392.0,6.1,436619,89.78,2025-12-31
Suba,390.0,6.1,652069,59.81,2025-12-31
Antonio Nariño,6.0,0.01,42336,14.17,2026-03-31
Tunjuelito,15.0,0.01,91223,16.44,2026-03-31
Rafael Uribe Uribe,21.0,0.02,192900,10.89,2026-03-31
La Candelaria,4.0,0.0,8067,49.58,2026-03-31
Barrios Unidos,14.0,0.01,73129,19.14,2026-03-31
Teusaquillo,16.0,0.01,84932,18.84,2026-03-31
Puente Aranda,27.0,0.02,128277,21.05,2026-03-31
Los Mártires,9.0,0.01,45013,19.99,2026-03-31
Sumapaz,0.0,0.0,1809,0.0,2026-03-31
Usaquén,26.0,0.02,306618,8.48,2026-03-31
Chapinero,13.0,0.01,85856,15.14,2026-03-31
Santa Fe,20.0,0.02,57223,34.95,2026-03-31
San Cristóbal,40.0,0.03,207660,19.26,2026-03-31
Usme,24.0,0.02,207553,11.56,2026-03-31
Ciudad Bolívar,48.0,0.04,348592,13.77,2026-03-31
Bosa,31.0,0.03,399575,7.76,2026-03-31
Kennedy,42.0,0.04,561526,7.48,2026-03-31
Fontibón,27.0,0.02,206788,13.06,2026-03-31
Engativá,48.0,0.04,435534,11.02,2026-03-31
Suba,35.0,0.03,650123,5.38,2026-03-31
