escenario,peso_violencia_visible,peso_barrera,peso_cobertura,codigo_localidad,INA_escenario,rank_escenario
equilibrado,0.4,0.3,0.3,3,93.15789473684211,1
equilibrado,0.4,0.3,0.3,14,87.36842105263158,2
equilibrado,0.4,0.3,0.3,4,80.52631578947368,3
equilibrado,0.4,0.3,0.3,19,75.26315789473684,4
equilibrado,0.4,0.3,0.3,16,68.94736842105263,5
equilibrado,0.4,0.3,0.3,5,66.3157894736842,6
equilibrado,0.4,0.3,0.3,8,61.05263157894736,7
equilibrado,0.4,0.3,0.3,18,60.526315789473685,8
equilibrado,0.4,0.3,0.3,13,60.52631578947368,9
equilibrado,0.4,0.3,0.3,17,53.68421052631579,10
equilibrado,0.4,0.3,0.3,2,47.89473684210526,11
equilibrado,0.4,0.3,0.3,6,46.315789473684205,12
equilibrado,0.4,0.3,0.3,1,40.526315789473685,13
equilibrado,0.4,0.3,0.3,11,33.1578947368421,14
equilibrado,0.4,0.3,0.3,7,32.63157894736842,15
equilibrado,0.4,0.3,0.3,10,25.263157894736842,16
equilibrado,0.4,0.3,0.3,12,23.157894736842103,17
equilibrado,0.4,0.3,0.3,9,22.631578947368418,18
equilibrado,0.4,0.3,0.3,15,21.052631578947366,19
prioriza_barrera_denuncia,0.2,0.6,0.2,3,89.47368421052632,1
prioriza_barrera_denuncia,0.2,0.6,0.2,4,88.42105263157895,2
prioriza_barrera_denuncia,0.2,0.6,0.2,14,87.36842105263158,3
prioriza_barrera_denuncia,0.2,0.6,0.2,5,71.57894736842105,4
prioriza_barrera_denuncia,0.2,0.6,0.2,1,64.21052631578948,5
prioriza_barrera_denuncia,0.2,0.6,0.2,17,59.99999999999999,6
prioriza_barrera_denuncia,0.2,0.6,0.2,18,58.94736842105263,7
prioriza_barrera_denuncia,0.2,0.6,0.2,19,58.94736842105263,7
prioriza_barrera_denuncia,0.2,0.6,0.2,8,57.89473684210526,9
prioriza_barrera_denuncia,0.2,0.6,0.2,16,57.89473684210526,9
prioriza_barrera_denuncia,0.2,0.6,0.2,6,57.89473684210525,11
prioriza_barrera_denuncia,0.2,0.6,0.2,9,40.0,12
prioriza_barrera_denuncia,0.2,0.6,0.2,13,38.94736842105263,13
prioriza_barrera_denuncia,0.2,0.6,0.2,10,34.73684210526316,14
prioriza_barrera_denuncia,0.2,0.6,0.2,2,30.526315789473685,15
prioriza_barrera_denuncia,0.2,0.6,0.2,11,30.526315789473678,16
prioriza_barrera_denuncia,0.2,0.6,0.2,7,25.26315789473684,17
prioriza_barrera_denuncia,0.2,0.6,0.2,15,25.26315789473684,17
prioriza_barrera_denuncia,0.2,0.6,0.2,12,22.105263157894733,19
prioriza_deficit_cobertura,0.2,0.2,0.6,3,95.78947368421052,1
prioriza_deficit_cobertura,0.2,0.2,0.6,19,82.10526315789474,2
prioriza_deficit_cobertura,0.2,0.2,0.6,14,78.94736842105263,3
prioriza_deficit_cobertura,0.2,0.2,0.6,16,76.84210526315789,4
prioriza_deficit_cobertura,0.2,0.2,0.6,4,73.68421052631578,5
prioriza_deficit_cobertura,0.2,0.2,0.6,8,66.3157894736842,6
prioriza_deficit_cobertura,0.2,0.2,0.6,13,66.3157894736842,6
prioriza_deficit_cobertura,0.2,0.2,0.6,5,63.15789473684211,8
prioriza_deficit_cobertura,0.2,0.2,0.6,2,62.10526315789473,9
prioriza_deficit_cobertura,0.2,0.2,0.6,18,56.84210526315789,10
prioriza_deficit_cobertura,0.2,0.2,0.6,17,51.57894736842105,11
prioriza_deficit_cobertura,0.2,0.2,0.6,6,41.05263157894737,12
prioriza_deficit_cobertura,0.2,0.2,0.6,1,36.84210526315789,13
prioriza_deficit_cobertura,0.2,0.2,0.6,11,36.84210526315789,13
prioriza_deficit_cobertura,0.2,0.2,0.6,7,33.68421052631578,15
prioriza_deficit_cobertura,0.2,0.2,0.6,10,22.105263157894736,16
prioriza_deficit_cobertura,0.2,0.2,0.6,12,22.105263157894733,17
prioriza_deficit_cobertura,0.2,0.2,0.6,9,16.842105263157894,18
prioriza_deficit_cobertura,0.2,0.2,0.6,15,16.842105263157894,18
prioriza_violencia_visible,0.6,0.2,0.2,3,93.6842105263158,1
prioriza_violencia_visible,0.6,0.2,0.2,14,91.57894736842105,2
prioriza_violencia_visible,0.6,0.2,0.2,4,80.0,3
prioriza_violencia_visible,0.6,0.2,0.2,19,80.0,3
prioriza_violencia_visible,0.6,0.2,0.2,16,70.52631578947367,5
prioriza_violencia_visible,0.6,0.2,0.2,13,68.42105263157895,6
prioriza_violencia_visible,0.6,0.2,0.2,5,65.26315789473685,7
prioriza_violencia_visible,0.6,0.2,0.2,18,63.1578947368421,8
prioriza_violencia_visible,0.6,0.2,0.2,8,60.0,9
prioriza_violencia_visible,0.6,0.2,0.2,17,51.57894736842105,10
prioriza_violencia_visible,0.6,0.2,0.2,2,49.473684210526315,11
prioriza_violencia_visible,0.6,0.2,0.2,6,43.1578947368421,12
prioriza_violencia_visible,0.6,0.2,0.2,7,35.78947368421052,13
prioriza_violencia_visible,0.6,0.2,0.2,11,32.63157894736842,14
prioriza_violencia_visible,0.6,0.2,0.2,1,30.526315789473685,15
prioriza_violencia_visible,0.6,0.2,0.2,12,24.21052631578947,16
prioriza_violencia_visible,0.6,0.2,0.2,10,22.105263157894736,17
prioriza_violencia_visible,0.6,0.2,0.2,15,21.052631578947366,18
prioriza_violencia_visible,0.6,0.2,0.2,9,16.842105263157894,19
