Localidad,TotalAtenciones,TotalAtenciones_Publico,Fecha
Antonio Nariño,1.0,6.0,2025-03-31
Tunjuelito,7.0,2.0,2025-03-31
Rafael Uribe Uribe,22.0,12.0,2025-03-31
La Candelaria,0.0,0.0,2025-03-31
Barrios Unidos,15.0,4.0,2025-03-31
Teusaquillo,6.0,8.0,2025-03-31
Puente Aranda,4.0,8.0,2025-03-31
Los Mártires,4.0,0.0,2025-03-31
Sumapaz,0.0,0.0,2025-03-31
Usaquén,25.0,35.0,2025-03-31
Chapinero,4.0,18.0,2025-03-31
Santa Fe,6.0,13.0,2025-03-31
San Cristóbal,16.0,30.0,2025-03-31
Usme,35.0,7.0,2025-03-31
Ciudad Bolívar,43.0,28.0,2025-03-31
Bosa,37.0,23.0,2025-03-31
Kennedy,51.0,35.0,2025-03-31
Fontibón,12.0,3.0,2025-03-31
Engativá,46.0,28.0,2025-03-31
Suba,43.0,31.0,2025-03-31
Antonio Nariño,4.0,24.0,2025-06-30
Tunjuelito,16.0,4.0,2025-06-30
Rafael Uribe Uribe,74.0,44.0,2025-06-30
La Candelaria,6.0,0.0,2025-06-30
Barrios Unidos,28.0,30.0,2025-06-30
Teusaquillo,13.0,19.0,2025-06-30
Puente Aranda,18.0,8.0,2025-06-30
Los Mártires,15.0,4.0,2025-06-30
Sumapaz,0.0,0.0,2025-06-30
Usaquén,61.0,54.0,2025-06-30
Chapinero,13.0,19.0,2025-06-30
Santa Fe,19.0,20.0,2025-06-30
San Cristóbal,87.0,64.0,2025-06-30
Usme,62.0,29.0,2025-06-30
Ciudad Bolívar,118.0,65.0,2025-06-30
Bosa,118.0,41.0,2025-06-30
Kennedy,131.0,90.0,2025-06-30
Fontibón,44.0,44.0,2025-06-30
Engativá,117.0,83.0,2025-06-30
Suba,135.0,107.0,2025-06-30
Antonio Nariño,20.0,36.0,2025-09-30
Tunjuelito,41.0,12.0,2025-09-30
Rafael Uribe Uribe,151.0,66.0,2025-09-30
La Candelaria,11.0,3.0,2025-09-30
Barrios Unidos,38.0,51.0,2025-09-30
Teusaquillo,32.0,42.0,2025-09-30
Puente Aranda,44.0,22.0,2025-09-30
Los Mártires,26.0,8.0,2025-09-30
Sumapaz,0.0,0.0,2025-09-30
Usaquén,100.0,121.0,2025-09-30
Chapinero,27.0,35.0,2025-09-30
Santa Fe,24.0,35.0,2025-09-30
San Cristóbal,182.0,105.0,2025-09-30
Usme,95.0,54.0,2025-09-30
Ciudad Bolívar,249.0,113.0,2025-09-30
Bosa,223.0,91.0,2025-09-30
Kennedy,317.0,139.0,2025-09-30
Fontibón,88.0,98.0,2025-09-30
Engativá,207.0,153.0,2025-09-30
Suba,296.0,199.0,2025-09-30
Antonio Nariño,34.0,43.0,2025-12-31
Tunjuelito,67.0,29.0,2025-12-31
Rafael Uribe Uribe,200.0,91.0,2025-12-31
La Candelaria,20.0,11.0,2025-12-31
Barrios Unidos,55.0,88.0,2025-12-31
Teusaquillo,48.0,63.0,2025-12-31
Puente Aranda,77.0,35.0,2025-12-31
Los Mártires,36.0,12.0,2025-12-31
Sumapaz,0.0,0.0,2025-12-31
Usaquén,140.0,151.0,2025-12-31
Chapinero,29.0,45.0,2025-12-31
Santa Fe,43.0,54.0,2025-12-31
San Cristóbal,243.0,162.0,2025-12-31
Usme,147.0,78.0,2025-12-31
Ciudad Bolívar,333.0,178.0,2025-12-31
Bosa,346.0,152.0,2025-12-31
Kennedy,486.0,183.0,2025-12-31
Fontibón,118.0,128.0,2025-12-31
Engativá,304.0,239.0,2025-12-31
Suba,423.0,293.0,2025-12-31
Antonio Nariño,3.0,12.0,2026-03-31
Tunjuelito,20.0,16.0,2026-03-31
Rafael Uribe Uribe,46.0,22.0,2026-03-31
La Candelaria,4.0,9.0,2026-03-31
Barrios Unidos,5.0,19.0,2026-03-31
Teusaquillo,20.0,16.0,2026-03-31
Puente Aranda,8.0,10.0,2026-03-31
Los Mártires,2.0,7.0,2026-03-31
Sumapaz,1.0,0.0,2026-03-31
Usaquén,48.0,38.0,2026-03-31
Chapinero,6.0,9.0,2026-03-31
Santa Fe,18.0,9.0,2026-03-31
San Cristóbal,30.0,38.0,2026-03-31
Usme,31.0,9.0,2026-03-31
Ciudad Bolívar,58.0,44.0,2026-03-31
Bosa,65.0,80.0,2026-03-31
Kennedy,82.0,73.0,2026-03-31
Fontibón,31.0,41.0,2026-03-31
Engativá,71.0,51.0,2026-03-31
Suba,75.0,47.0,2026-03-31
