codigo_localidad,item_codigo,enunciado,factor_asignado,pct_acuerdo,ic_inf,ic_sup,n_muestral
1,P10.1,De acuerdo,F1,0.3146148017549488,0.24522114738084033,0.3840084561290573,337
1,P10.10,En desacuerdo,F2,0.26414274978187025,0.19825890178683142,0.33002659777690907,337
1,P10.11,De acuerdo,F3,0.6845469306818747,0.615103396525635,0.7539904648381144,337
1,P10.2,De acuerdo,F1,0.4154963452640114,0.3418518920300335,0.4891407984979893,337
1,P10.3,De acuerdo,F1,0.7055243527619774,0.6374092337748543,0.7736394717491006,337
1,P10.4,De acuerdo,F1,0.6143950559439623,0.541657622045248,0.6871324898426765,337
1,P10.5,De acuerdo,F2,0.4515230734711674,0.3771557796824126,0.5258903672599221,337
1,P10.6,De acuerdo,F1,0.2225931676757741,0.16042860051147226,0.284757734840076,337
1,P10.7,En desacuerdo,F3,0.22584867094832117,0.16336241202485258,0.28833492987178977,337
1,P10.8,En desacuerdo,F2,0.43488112242765725,0.36079821671932466,0.5089640281359898,337
1,P10.9,En desacuerdo,F3,0.4135605420748003,0.339966278752419,0.4871548053971816,337
1,P12.1,En desacuerdo,F3,0.5886591940230298,0.5151239249850927,0.6621944630609669,337
1,P12.2,En desacuerdo,F3,0.39294773613447376,0.31996111484875617,0.46593435742019135,337
1,P12.3,En desacuerdo,F3,0.5640124533519996,0.48990801646342225,0.6381168902405768,337
1,P12.4,De acuerdo,F3,0.6326130416967825,0.5605697146624498,0.7046563687311151,337
1,P12.5,En desacuerdo,F3,0.343671298801175,0.27269797362521464,0.4146446239771353,337
1,P12.6,De acuerdo,F1,0.35830880277834126,0.28665246600061955,0.42996513955606297,337
2,P10.1,En desacuerdo,F1,0.6295605264738974,0.5579846446623293,0.7011364082854654,235
2,P10.10,En desacuerdo,F2,0.3270262424149313,0.2574950463778996,0.39655743845196295,235
2,P10.11,En desacuerdo,F3,0.30794483358559344,0.2395227725803301,0.37636689459085676,235
2,P10.2,En desacuerdo,F1,0.47138373597726974,0.397398188698194,0.5453692832563455,235
2,P10.3,En desacuerdo,F1,0.48158606208909965,0.40752931662730973,0.5556428075508896,235
2,P10.4,En desacuerdo,F1,0.5097243571695601,0.4356313561695857,0.5838173581695345,235
2,P10.5,En desacuerdo,F2,0.29190985399720454,0.22452566802244506,0.359294039971964,235
2,P10.6,En desacuerdo,F1,0.30341007807626996,0.23527152176605498,0.37154863438648494,235
2,P10.7,En desacuerdo,F3,0.42285687300032354,0.3496371984560447,0.4960765475446024,235
2,P10.8,En desacuerdo,F2,0.3483215496986019,0.2777066762620613,0.4189364231351425,235
2,P10.9,En desacuerdo,F3,0.25415518931067393,0.18962498203728717,0.3186853965840607,235
2,P12.1,En desacuerdo,F3,0.28784195155613723,0.22073699928749457,0.3549469038247799,235
2,P12.2,En desacuerdo,F3,0.3060513509265718,0.23774671971250572,0.3743559821406379,235
2,P12.3,En desacuerdo,F3,0.22079572900850855,0.1593190598068926,0.2822723982101245,235
2,P12.4,En desacuerdo,F3,0.3313398527609335,0.26157625162720427,0.4011034538946627,235
2,P12.5,En desacuerdo,F3,0.2991413960251643,0.23127687382584983,0.3670059182244788,235
2,P12.6,En desacuerdo,F1,0.3993882149925377,0.32679703087348777,0.4719793991115876,235
