codigo_localidad,TAC_M,TAC_M_ic_inf,TAC_M_ic_sup,TAC_K,TAC_L,TAC_N,IPSJ_C_prom,IPSJ_C_ic_inf,IPSJ_C_ic_sup,IPSJ_A_prom,IPSJ_E_prom,IBA,ICG_B_prom,pct_carga_mujer,gad7_mod_sev,pobreza_subjetiva,IPS_noche_prom,vol_afronto_mujeres,oferta_total,oferta_100k,casos_admin,tasa_admin,RC_admin,RC_real,rank_admin,rank_real,delta_rank,INA,cuadrante,factor_roles,factor_culpabilizacion,factor_noinjerencia,n_muestral,cv_estimacion,publicable,en_encuesta
1,0.1348544056852073,0.10385711278631889,0.1658516985840957,0.17873939342392442,0.10197625311674755,0.07728650917797446,2.754901234952196,,,2.4716038074527646,1.9961875901294595,,3.19041942580257,,,,2.6884217467530247,34055.85592942159,5711.0,1862.5781917565178,231.0,75.33804277635365,24.72294372294372,167.69509513534626,4,5,1.0,40.52631578947368,IV,0.0835536764574167,-0.498051392893413,0.3908667974297571,834.0,11.72742208622593,True,True
2,0.204289213961431,0.14030340494643542,0.2682750229764266,0.19517342006669336,0.16383706958718863,0.15148819061314878,3.2154558642369087,,,2.687784979200707,2.513403793844949,,3.205048014945546,,,,2.94293674663894,14962.289576797413,1639.0,1909.0104360790162,64.0,74.54342154304882,25.609375,109.54205849228178,3,16,13.0,47.89473684210526,I,-0.1007307837290176,0.2423791713004347,-0.2961825190738187,296.0,15.980198020724456,True,True
3,0.30108884861053137,0.21554976481534738,0.38662793240571536,0.26459489784321727,0.20037510615303483,0.16754777759052938,2.624074104251597,,,2.5699474695600597,2.141909295763548,,2.9679456759928353,,,,2.6313316189018408,16809.360312153905,1527.0,2668.50741834577,142.0,248.15196686646976,10.753521126760564,90.84224334794656,16,19,3.0,93.1578947368421,I,0.2041112357541996,0.2073494243426773,0.029537687885383,300.0,14.494854224200552,True,True
4,0.23593834771998287,0.19427476421095566,0.2776019312290101,0.22039383378643856,0.24313514881497367,0.15644544403756813,2.7220774382222817,,,2.5352739532464956,1.9999533861946197,,2.9971754447103387,,,,2.200896378813072,42108.08872904142,5480.0,2638.9290185880764,625.0,300.97274390831166,8.768,130.14126656906453,18,12,-6.0,80.52631578947368,I,-0.1275709930578096,0.2086135395778235,-0.0309058416721505,732.0,9.009527517322788,True,True
5,0.21610621820643533,0.1774944731707219,0.2547179632421488,0.1725762721166673,0.18316515984733342,0.1362568194852898,2.7678730724712883,,,2.493226892147134,2.1300866310033313,,3.0105111277664505,,,,2.6718565347428473,36936.49451555895,4876.0,2349.2794611496824,398.0,191.7582497000766,12.251256281407036,132.0103616748486,14,11,-3.0,66.3157894736842,I,0.0256755530477373,-0.0850710066690839,-0.1283843754989455,744.0,9.115827429529139,True,True
6,0.16960953101884166,0.10934253794622484,0.22987652409145848,0.20769351011566237,0.1623375403657419,0.10489794927298303,2.7784154927005282,,,2.6524561009621754,1.9496524279172347,,3.198117384406203,,,,2.562328997051516,12809.601582817111,2037.0,2232.989487300352,152.0,166.6246451004681,13.401315789473685,159.02133933130645,13,6,-7.0,46.315789473684205,IV,0.0905157709046333,-0.3408947642334085,0.2929429796158622,308.0,18.128972864125267,True,True
7,0.1704108131529245,0.13941977422721666,0.20140185207863234,0.1989775884843926,0.17335321134903914,0.15390065892050506,2.838979626185314,,,2.707181879972607,2.2487066353867307,,2.893650041732268,,,,2.349042244089158,66176.9069966163,10443.0,2613.5268723018207,736.0,184.19570793968592,14.188858695652174,157.80429267469333,12,7,-5.0,32.63157894736842,IV,-0.2204422820607885,-0.0321202855475249,0.2379225902439153,1250.0,9.278609884774923,True,True
8,0.20891258593408862,0.18301294365638154,0.2348122282117957,0.19447587279746475,0.16538147362474157,0.12613769471243994,2.858554258606966,,,2.5644709904807743,2.087856217976702,,3.0195701992345705,,,,2.4025236488102215,120732.39051096978,14101.0,2511.1927141396836,806.0,143.53743192657151,17.495037220843674,116.79550069638336,9,14,5.0,61.05263157894736,I,0.216740652469271,0.1702409642533221,-0.0687441201840289,1737.0,6.325182919846097,True,True
9,0.10547597569377583,0.07524554420365599,0.13570640718389565,0.1574813563403373,0.09164040789574533,0.07916398963479764,2.7417206124556146,,,2.6143658248760806,2.0654535591420453,,3.233346425674671,,,,2.585559380009489,19215.28357350388,4619.0,2233.6886086233244,225.0,108.80708745188308,20.52888888888889,240.3815682621088,7,1,-6.0,22.631578947368418,IV,-0.0543337265804489,-0.2765316834435302,0.09550756662402,654.0,14.622940849160198,True,True
10,0.13911852352071602,0.11300733810507403,0.165229708936358,0.1652201966989351,0.13643722104659967,0.07731883669896589,2.8344693387516737,,,2.541384732354445,2.0868390418656144,,3.0937994463478757,,,,2.477811976041989,52565.60686612792,10574.0,2427.8242341585274,498.0,114.34239347559547,21.23293172690763,201.15814560896172,6,3,-3.0,25.26315789473684,IV,0.0773241691687836,0.1932753887960558,-0.1222361289744651,1232.0,9.576031313575415,True,True
