codigo_localidad,fecha,indicador,valor,tasa_100k
1,2025-03-01,Duplas,25.0,8.153467832938706
2,2025-03-01,Duplas,4.0,4.658963846440551
3,2025-03-01,Duplas,6.0,10.485294374639569
4,2025-03-01,Duplas,16.0,7.704902244052779
5,2025-03-01,Duplas,35.0,16.863162662067037
6,2025-03-01,Duplas,7.0,7.673503392784715
7,2025-03-01,Duplas,37.0,9.259838578489646
8,2025-03-01,Duplas,51.0,9.082393335304154
9,2025-03-01,Duplas,12.0,5.803044664100431
10,2025-03-01,Duplas,46.0,10.56174718850882
11,2025-03-01,Duplas,43.0,6.614133017905843
12,2025-03-01,Duplas,15.0,20.511698505380902
13,2025-03-01,Duplas,6.0,7.064475109499364
14,2025-03-01,Duplas,4.0,8.886321729278208
15,2025-03-01,Duplas,1.0,2.362055933484505
16,2025-03-01,Duplas,4.0,3.118251907980386
17,2025-03-01,Duplas,0.0,0.0
18,2025-03-01,Duplas,22.0,11.404872991187144
19,2025-03-01,Duplas,43.0,12.335337586634232
20,2025-03-01,Duplas,0.0,0.0
1,2025-03-01,DuplasPublico,35.0,11.414854966114188
2,2025-03-01,DuplasPublico,18.0,20.96533730898248
3,2025-03-01,DuplasPublico,13.0,22.718137811719064
4,2025-03-01,DuplasPublico,30.0,14.44669170759896
5,2025-03-01,DuplasPublico,7.0,3.3726325324134074
6,2025-03-01,DuplasPublico,2.0,2.192429540795633
7,2025-03-01,DuplasPublico,23.0,5.756115873115185
8,2025-03-01,DuplasPublico,35.0,6.233015034032262
9,2025-03-01,DuplasPublico,3.0,1.4507611660251079
10,2025-03-01,DuplasPublico,28.0,6.428889593005367
11,2025-03-01,DuplasPublico,31.0,4.768328454769328
12,2025-03-01,DuplasPublico,4.0,5.469786268101574
13,2025-03-01,DuplasPublico,8.0,9.419300145999152
14,2025-03-01,DuplasPublico,0.0,0.0
15,2025-03-01,DuplasPublico,6.0,14.17233560090703
16,2025-03-01,DuplasPublico,8.0,6.236503815960772
17,2025-03-01,DuplasPublico,0.0,0.0
18,2025-03-01,DuplasPublico,12.0,6.2208398133748055
19,2025-03-01,DuplasPublico,28.0,8.032312847110662
20,2025-03-01,DuplasPublico,0.0,0.0
1,2025-03-01,LineaPurpura,567.0,184.92065045104985
2,2025-03-01,LineaPurpura,172.0,200.33544539694373
3,2025-03-01,LineaPurpura,162.0,283.10294811526836
4,2025-03-01,LineaPurpura,462.0,222.479052297024
5,2025-03-01,LineaPurpura,528.0,254.39285387346845
6,2025-03-01,LineaPurpura,184.0,201.7035177531982
7,2025-03-01,LineaPurpura,1019.0,255.02095976975536
8,2025-03-01,LineaPurpura,1320.0,235.073709854931
9,2025-03-01,LineaPurpura,402.0,194.40199624736445
10,2025-03-01,LineaPurpura,941.0,216.0566109649304
11,2025-03-01,LineaPurpura,1281.0,197.0396371148229
12,2025-03-01,LineaPurpura,186.0,254.34506146672322
13,2025-03-01,LineaPurpura,201.0,236.6599161682287
14,2025-03-01,LineaPurpura,108.0,239.9306866905116
15,2025-03-01,LineaPurpura,82.0,193.6885865457294
16,2025-03-01,LineaPurpura,302.0,235.42801905251915
17,2025-03-01,LineaPurpura,33.0,409.0740052063964
18,2025-03-01,LineaPurpura,478.0,247.79678589942978
19,2025-03-01,LineaPurpura,718.0,205.97145086519484
20,2025-03-01,LineaPurpura,9.0,497.51243781094524
1,2025-06-01,DelitosSexuales,112.0,36.35407571385447
2,2025-06-01,DelitosSexuales,64.0,74.09722945827978
3,2025-06-01,DelitosSexuales,122.0,213.59665248524956
4,2025-06-01,DelitosSexuales,124.0,59.65668539758294
5,2025-06-01,DelitosSexuales,122.0,59.15323597292527
6,2025-06-01,DelitosSexuales,62.0,67.83444020175276
7,2025-06-01,DelitosSexuales,157.0,39.531065878395395
8,2025-06-01,DelitosSexuales,173.0,30.81367699785729
9,2025-06-01,DelitosSexuales,98.0,47.30209142818529
10,2025-06-01,DelitosSexuales,188.0,43.05813535370655
11,2025-06-01,DelitosSexuales,215.0,32.97197075769589
12,2025-06-01,DelitosSexuales,48.0,65.33278889342589
13,2025-06-01,DelitosSexuales,78.0,91.36163982430455
14,2025-06-01,DelitosSexuales,69.0,152.59072513766336
15,2025-06-01,DelitosSexuales,30.0,70.72135785007072
16,2025-06-01,DelitosSexuales,125.0,97.14245747103213
17,2025-06-01,DelitosSexuales,22.0,271.33695115934876
18,2025-06-01,DelitosSexuales,98.0,50.69603588037805
19,2025-06-01,DelitosSexuales,230.0,66.4799447349329
20,2025-06-01,DelitosSexuales,0.0,0.0
1,2025-06-01,Duplas,61.0,19.799987665581455
2,2025-06-01,Duplas,13.0,15.050999733713082
3,2025-06-01,Duplas,19.0,33.26505243622739
4,2025-06-01,Duplas,87.0,41.855900238626745
5,2025-06-01,Duplas,62.0,30.061480576404644
6,2025-06-01,Duplas,16.0,17.505661987549097
7,2025-06-01,Duplas,118.0,29.711246965927742
8,2025-06-01,Duplas,131.0,23.33289992323298
9,2025-06-01,Duplas,44.0,21.23767370245054
10,2025-06-01,Duplas,117.0,26.796818278636525
11,2025-06-01,Duplas,135.0,20.703330475762534
12,2025-06-01,Duplas,28.0,38.1107935211651
13,2025-06-01,Duplas,13.0,15.226939970717423
14,2025-06-01,Duplas,15.0,33.171896769057255
15,2025-06-01,Duplas,4.0,9.42951438000943
16,2025-06-01,Duplas,18.0,13.988513875828623
17,2025-06-01,Duplas,6.0,74.00098667982239
18,2025-06-01,Duplas,74.0,38.28068015457118
19,2025-06-01,Duplas,118.0,34.107102081400356
20,2025-06-01,Duplas,0.0,0.0
1,2025-06-01,DuplasPublico,54.0,17.52785793346555
2,2025-06-01,DuplasPublico,19.0,21.99761499542681
3,2025-06-01,DuplasPublico,20.0,35.01584466971305
4,2025-06-01,DuplasPublico,64.0,30.790547301978293
5,2025-06-01,DuplasPublico,29.0,14.061015108318301
6,2025-06-01,DuplasPublico,4.0,4.376415496887274
7,2025-06-01,DuplasPublico,41.0,10.323399369517267
8,2025-06-01,DuplasPublico,90.0,16.030236588480673
9,2025-06-01,DuplasPublico,44.0,21.23767370245054
10,2025-06-01,DuplasPublico,83.0,19.009708693391723
11,2025-06-01,DuplasPublico,107.0,16.409306377085862
12,2025-06-01,DuplasPublico,30.0,40.83299305839118
13,2025-06-01,DuplasPublico,19.0,22.25475841874085
14,2025-06-01,DuplasPublico,4.0,8.845839138415268
15,2025-06-01,DuplasPublico,24.0,56.57708628005658
16,2025-06-01,DuplasPublico,8.0,6.2171172781460555
17,2025-06-01,DuplasPublico,0.0,0.0
18,2025-06-01,DuplasPublico,44.0,22.761485497312595
19,2025-06-01,DuplasPublico,65.0,18.787810468567994
20,2025-06-01,DuplasPublico,0.0,0.0
1,2025-06-01,LineaPurpura,1114.0,361.5932173681596
2,2025-06-01,LineaPurpura,312.0,361.22399360911396
3,2025-06-01,LineaPurpura,292.0,511.23133217781043
4,2025-06-01,LineaPurpura,1013.0,487.3566315141252
5,2025-06-01,LineaPurpura,944.0,457.7102849052579
6,2025-06-01,LineaPurpura,377.0,412.4771605816256
7,2025-06-01,LineaPurpura,2044.0,514.6592271047145
8,2025-06-01,LineaPurpura,2606.0,464.1644061064515
9,2025-06-01,LineaPurpura,870.0,419.92673002572656
10,2025-06-01,LineaPurpura,1983.0,454.17171492766005
11,2025-06-01,LineaPurpura,2553.0,391.5229829971982
12,2025-06-01,LineaPurpura,338.0,460.0517217912073
13,2025-06-01,LineaPurpura,408.0,477.891654465593
14,2025-06-01,LineaPurpura,229.0,506.42429067427406
15,2025-06-01,LineaPurpura,203.0,478.54785478547853
16,2025-06-01,LineaPurpura,589.0,457.7352596035034
17,2025-06-01,LineaPurpura,70.0,863.3448445979279
18,2025-06-01,LineaPurpura,944.0,488.3373252150702
19,2025-06-01,LineaPurpura,1473.0,425.7606895415485
20,2025-06-01,LineaPurpura,35.0,1957.4944071588368
1,2025-06-01,RiesgoFeminicidio,39.0,12.659008507502897
2,2025-06-01,RiesgoFeminicidio,12.0,13.89323052342746
3,2025-06-01,RiesgoFeminicidio,31.0,54.274559238055225
4,2025-06-01,RiesgoFeminicidio,107.0,51.47794627049496
5,2025-06-01,RiesgoFeminicidio,71.0,34.425243885882736
6,2025-06-01,RiesgoFeminicidio,31.0,33.91722010087638
7,2025-06-01,RiesgoFeminicidio,134.0,33.73989062232473
8,2025-06-01,RiesgoFeminicidio,139.0,24.75780984220904
9,2025-06-01,RiesgoFeminicidio,38.0,18.34162728848001
10,2025-06-01,RiesgoFeminicidio,95.0,21.758100311713417
11,2025-06-01,RiesgoFeminicidio,111.0,17.02273839118253
12,2025-06-01,RiesgoFeminicidio,13.0,17.694296991969512
13,2025-06-01,RiesgoFeminicidio,10.0,11.71303074670571
14,2025-06-01,RiesgoFeminicidio,16.0,35.38335655366107
15,2025-06-01,RiesgoFeminicidio,11.0,25.93116454502593
16,2025-06-01,RiesgoFeminicidio,28.0,21.759910473511194
17,2025-06-01,RiesgoFeminicidio,17.0,209.66946225949678
18,2025-06-01,RiesgoFeminicidio,84.0,43.45374504032404
19,2025-06-01,RiesgoFeminicidio,174.0,50.29352340816663
20,2025-06-01,RiesgoFeminicidio,0.0,0.0
1,2025-09-01,DelitosSexuales,210.0,68.16389196347714
2,2025-09-01,DelitosSexuales,111.0,128.512382341704
3,2025-09-01,DelitosSexuales,186.0,325.6473554283313
4,2025-09-01,DelitosSexuales,255.0,122.68108690631975
5,2025-09-01,DelitosSexuales,223.0,108.12435755706834
6,2025-09-01,DelitosSexuales,92.0,100.6575564284073
7,2025-09-01,DelitosSexuales,301.0,75.78885878596823
8,2025-09-01,DelitosSexuales,366.0,65.18962879315472
9,2025-09-01,DelitosSexuales,150.0,72.4011603492632
10,2025-09-01,DelitosSexuales,394.0,90.23885813489565
11,2025-09-01,DelitosSexuales,393.0,60.269695384997604
12,2025-09-01,DelitosSexuales,104.0,141.5543759357561
13,2025-09-01,DelitosSexuales,138.0,161.63982430453882
14,2025-09-01,DelitosSexuales,131.0,289.7012317831
15,2025-09-01,DelitosSexuales,54.0,127.29844413012731
16,2025-09-01,DelitosSexuales,208.0,161.64504923179746
17,2025-09-01,DelitosSexuales,39.0,481.00641341884557
18,2025-09-01,DelitosSexuales,174.0,90.0113290120998
19,2025-09-01,DelitosSexuales,415.0,119.9529437608572
