codigo_localidad,nombre_oficial,F1_z,F2_z,F3_z,n,F1_z_ci_lower,F1_z_ci_upper
1,Usaquén,0.0835536754516006,0.3908667968000752,-0.4980513893090735,295,-0.06296923221278958,0.26336495485911715
2,Chapinero,-0.10073078458420706,-0.29618251828948505,0.24237917014988722,223,-0.25164361769624183,0.10361231327881894
3,Santa Fe,0.20411123610269516,0.02953768794358642,0.2073494241409458,174,-0.12063419939546027,0.576937663376609
4,San Cristóbal,-0.12757099081264395,-0.030905842300612912,0.20861354007926233,207,-0.3096818756669091,0.08325170539269593
5,Usme,0.02567555329313624,-0.12838437528246655,-0.0850710075119254,346,-0.13038095809094635,0.16620142430386886
6,Tunjuelito,0.09051577179079381,0.2929429772993003,-0.34089476225932164,275,-0.06680792042459868,0.25438642038574943
7,Bosa,-0.22044228319952738,0.23792259119983702,-0.03212028189255617,319,-0.38658630869823346,-0.05669811683868984
8,Kennedy,0.2167406514994166,-0.06874411976309229,0.1702409642841343,345,-0.04065278105800637,0.46880603968869167
9,Fontibón,-0.0543337239976718,0.09550756456811682,-0.27653168364054004,327,-0.18298466421094095,0.07125130136263981
10,Engativá,0.07732417034110321,-0.12223612932218553,0.19327538650536288,519,-0.04881482364870361,0.1924107228790694
11,Suba,-0.15535733524207831,-0.4990930816071298,0.18412243822506927,376,-0.25159346821626105,-0.059077087253300305
12,Barrios Unidos,-0.19879057159794253,-0.3285711383842927,0.055624274315091496,221,-0.3464168675616509,-0.09903450062315694
13,Teusaquillo,0.20370108293694464,-0.10194175716586616,0.13489912079219835,235,0.045143022059093256,0.4105671426926912
14,Los Mártires,0.2746414088761095,0.3109269944638433,-0.2418687361447917,208,0.04824271274775258,0.5214945992897796
15,Antonio Nariño,0.1925185475824209,0.050018654025818524,0.0745286755484306,221,-0.08698391967876826,0.5223165174326657
16,Puente Aranda,0.1359691351259826,-0.04354379623966804,0.21695365496927801,219,-0.0029293592472616732,0.2972496696850278
17,La Candelaria,0.1938833361202137,0.5278632710168057,-0.411819137007367,130,-0.11320451594449174,0.4687199633733929
18,Rafael Uribe Uribe,0.037623479785873874,0.005452183435730292,0.2906256762421157,287,-0.11178736020868679,0.17450414618565943
19,Ciudad Bolívar,-0.19586060446702036,-0.05491222614363491,-0.2889953622835857,454,-0.3259856002954085,-0.06658405127417437
