localidad,INA,INA_ic_inf,INA_ic_sup,rank_INA
Antonio Nariño,21.052631578947366,15.789473684210526,28.42105263157895,19
Fontibón,22.631578947368418,27.368421052631575,22.631578947368418,18
Barrios Unidos,23.157894736842103,15.263157894736839,35.26315789473684,17
Engativá,25.263157894736842,37.89473684210526,18.421052631578945,16
Bosa,32.63157894736842,37.89473684210526,26.31578947368421,15
Suba,33.1578947368421,40.52631578947368,27.368421052631575,14
Usaquén,40.52631578947368,44.73684210526315,36.315789473684205,13
Tunjuelito,46.315789473684205,38.94736842105263,51.57894736842105,12
Chapinero,47.89473684210526,47.89473684210526,52.10526315789473,11
La Candelaria,53.68421052631579,38.421052631578945,75.78947368421052,10
Teusaquillo,60.52631578947368,52.10526315789474,60.52631578947368,9
Rafael Uribe Uribe,60.526315789473685,67.36842105263158,56.315789473684205,8
Kennedy,61.05263157894736,78.94736842105263,52.105263157894726,7
Usme,66.3157894736842,71.57894736842105,58.94736842105263,6
Puente Aranda,68.94736842105263,62.631578947368425,72.10526315789473,5
Ciudad Bolívar,75.26315789473684,85.78947368421052,72.10526315789474,4
San Cristóbal,80.52631578947368,82.63157894736841,70.0,3
Los Mártires,87.36842105263158,74.21052631578947,87.36842105263158,2
Santa Fe,93.1578947368421,80.0,96.3157894736842,1
