Localidad,TotalAtenciones,Fecha
Antonio Nariño,82.0,2025-03-31
Tunjuelito,184.0,2025-03-31
Rafael Uribe Uribe,478.0,2025-03-31
La Candelaria,33.0,2025-03-31
Barrios Unidos,186.0,2025-03-31
Teusaquillo,201.0,2025-03-31
Puente Aranda,302.0,2025-03-31
Los Mártires,108.0,2025-03-31
Sumapaz,9.0,2025-03-31
Usaquén,567.0,2025-03-31
Chapinero,172.0,2025-03-31
Santa Fe,162.0,2025-03-31
San Cristóbal,462.0,2025-03-31
Usme,528.0,2025-03-31
Ciudad Bolívar,718.0,2025-03-31
Bosa,1019.0,2025-03-31
Kennedy,1320.0,2025-03-31
Fontibón,402.0,2025-03-31
Engativá,941.0,2025-03-31
Suba,1281.0,2025-03-31
Antonio Nariño,203.0,2025-06-30
Tunjuelito,377.0,2025-06-30
Rafael Uribe Uribe,944.0,2025-06-30
La Candelaria,70.0,2025-06-30
Barrios Unidos,338.0,2025-06-30
Teusaquillo,408.0,2025-06-30
Puente Aranda,589.0,2025-06-30
Los Mártires,229.0,2025-06-30
Sumapaz,35.0,2025-06-30
Usaquén,1114.0,2025-06-30
Chapinero,312.0,2025-06-30
Santa Fe,292.0,2025-06-30
San Cristóbal,1013.0,2025-06-30
Usme,944.0,2025-06-30
Ciudad Bolívar,1473.0,2025-06-30
Bosa,2044.0,2025-06-30
Kennedy,2606.0,2025-06-30
Fontibón,870.0,2025-06-30
Engativá,1983.0,2025-06-30
Suba,2553.0,2025-06-30
Antonio Nariño,288.0,2025-09-30
Tunjuelito,581.0,2025-09-30
Rafael Uribe Uribe,1432.0,2025-09-30
La Candelaria,109.0,2025-09-30
Barrios Unidos,461.0,2025-09-30
Teusaquillo,607.0,2025-09-30
Puente Aranda,899.0,2025-09-30
Los Mártires,348.0,2025-09-30
Sumapaz,52.0,2025-09-30
Usaquén,1693.0,2025-09-30
Chapinero,495.0,2025-09-30
Santa Fe,434.0,2025-09-30
San Cristóbal,1528.0,2025-09-30
Usme,1398.0,2025-09-30
Ciudad Bolívar,2240.0,2025-09-30
Bosa,3031.0,2025-09-30
Kennedy,4027.0,2025-09-30
Fontibón,1364.0,2025-09-30
Engativá,3047.0,2025-09-30
Suba,3912.0,2025-09-30
Antonio Nariño,367.0,2025-12-31
Tunjuelito,747.0,2025-12-31
Rafael Uribe Uribe,1834.0,2025-12-31
La Candelaria,113.0,2025-12-31
Barrios Unidos,592.0,2025-12-31
Teusaquillo,747.0,2025-12-31
Puente Aranda,1139.0,2025-12-31
Los Mártires,430.0,2025-12-31
Sumapaz,59.0,2025-12-31
Usaquén,2127.0,2025-12-31
Chapinero,629.0,2025-12-31
Santa Fe,579.0,2025-12-31
San Cristóbal,1949.0,2025-12-31
Usme,1776.0,2025-12-31
Ciudad Bolívar,2887.0,2025-12-31
Bosa,3803.0,2025-12-31
Kennedy,5221.0,2025-12-31
Fontibón,1729.0,2025-12-31
Engativá,3900.0,2025-12-31
Suba,5065.0,2025-12-31
Antonio Nariño,104.0,2026-03-31
Tunjuelito,188.0,2026-03-31
Rafael Uribe Uribe,406.0,2026-03-31
La Candelaria,19.0,2026-03-31
Barrios Unidos,120.0,2026-03-31
Teusaquillo,145.0,2026-03-31
Puente Aranda,285.0,2026-03-31
Los Mártires,98.0,2026-03-31
Sumapaz,3.0,2026-03-31
Usaquén,428.0,2026-03-31
Chapinero,128.0,2026-03-31
Santa Fe,118.0,2026-03-31
San Cristóbal,448.0,2026-03-31
Usme,423.0,2026-03-31
Ciudad Bolívar,747.0,2026-03-31
Bosa,813.0,2026-03-31
Kennedy,1231.0,2026-03-31
Fontibón,375.0,2026-03-31
Engativá,945.0,2026-03-31
Suba,1228.0,2026-03-31
