modelo,dependiente,predictor,coef,or,ic_inf,ic_sup,ame,efecto_estandarizado,p_valor,p_ajustado_bh_local,significativo_bh_local,p_ajustado_bh_global,significativo_bh_global,robustez_signo_consistente,robustez_coef_sin_ponderar,robustez_coef_cluster_sectorupl,robustez_coef_excl_localidades
M1,IPSJ_C,ICC_mujer,-0.26371688630329465,,-0.4098745730970328,-0.11755919950955651,,-0.08361990731912179,0.00040558267561727895,0.0006083740134259184,True,0.0032446614049382316,True,True,-0.18325674613862225,-0.26371688630329465,-0.2657706094011267
M1,IPSJ_C,ICC_mujer_x_mujer,0.17767651958428332,,0.03145508526655158,0.32389795390201503,,0.05268589136953374,0.017238054377834836,0.017238054377834836,True,0.09193629001511912,False,,,,
M1,IPSJ_C,HHI,0.26584054570732046,,0.1385177824611071,0.3931633089535338,,0.06112967224437158,4.271886465232957e-05,0.00012815659395698872,True,0.0006835018344372732,True,,,,
M2,afronto_M,ICC_mujer,0.017150586770787072,1.0172985024879144,0.6504521454294637,1.5910413247708775,0.0024225676120216747,,0.9400872067645615,0.9400872067645615,False,0.9434027532912725,False,False,-0.22453391586815408,0.017150586770787072,0.025933797689670204
M2,afronto_M,ICC_mujer_x_mujer,0.1828463033512003,1.2006298611129669,0.6957532765402468,2.0718724754906077,0.0258275438850294,,0.5112884995276694,0.7669327492915041,False,0.6817179993702259,False,,,,
M2,afronto_M,HHI,-0.2843189092960022,0.7525266187007755,0.5526676953424081,1.0246596944704187,-0.040160828918054246,,0.0710298823875849,0.2130896471627547,False,0.22729562364027167,False,,,,
M3,ICG_B,ICC_mujer,-0.050688673024304076,,-0.22543387745308813,0.12405653140447997,,-0.015942125208493564,0.5696748206406286,0.5696748206406286,False,0.701138240788466,False,False,0.0066596318052453835,-0.050688673024304076,-0.0621766333611989
M3,ICG_B,ICC_mujer_x_mujer,0.06894877243872544,,-0.11540134261431928,0.25329888749177015,,0.02029852487636724,0.4635303859608829,0.5696748206406286,False,0.6817179993702259,False,,,,
M3,ICG_B,HHI,0.06493784248319645,,-0.0456533646845135,0.1755290496509064,,0.014801331190026535,0.2497867263005552,0.4995734526011104,False,0.4995734526011104,False,,,,
M3,ICG_B,TAC_M_localidad,0.2453069174534741,,0.015769781861750154,0.47484405304519806,,0.011115038922678844,0.036204922148115985,0.14481968859246394,False,0.14481968859246394,False,,,,
M4-K,afronto_K,ICC_mujer,-0.016361652945648456,0.9837714718617462,0.6262115008265624,1.5454943059518695,-0.0023097335505030204,,0.9434027532912725,0.9434027532912725,False,0.9434027532912725,False,,,,
M4-K,afronto_K,ICC_mujer_x_mujer,0.17899821604086566,1.1960186105176553,0.7299442987614949,1.9596844843252592,0.0252687296597216,,0.4773996238096633,0.716099435714495,False,0.6817179993702259,False,,,,
M4-K,afronto_K,HHI,0.17146203993374823,1.1870390817948469,0.7668031396124141,1.8375795675805042,0.024204866561357893,,0.4418712271852506,0.716099435714495,False,0.6817179993702259,False,,,,
M4-L,afronto_L,ICC_mujer,0.31574973843428816,1.3712870322402944,0.8534140710624246,2.203418233366399,0.04048771647359369,,0.19192974876960833,0.2878946231544125,False,0.4386965686162476,False,,,,
M4-L,afronto_L,ICC_mujer_x_mujer,-0.024089663477500387,0.9761981765104648,0.5420349960826886,1.7581205765484929,-0.0030889509826919487,,0.9360370922551948,0.9360370922551948,False,0.9434027532912725,False,,,,
M4-L,afronto_L,HHI,-0.19550914964202734,0.8224158187194187,0.6148754215464971,1.1000078311453283,-0.025069598023901955,,0.18763993130547685,0.2878946231544125,False,0.4386965686162476,False,,,,
