Localidad,Total,Porcentaje,PobMujeres,Tasa,Fecha
Antonio Nariño,11.0,0.9,42420,25.93,2025-06-30
Tunjuelito,31.0,2.4,91399,33.92,2025-06-30
Rafael Uribe Uribe,84.0,6.5,193309,43.45,2025-06-30
La Candelaria,17.0,1.3,8108,209.67,2025-06-30
Barrios Unidos,13.0,1.0,73470,17.69,2025-06-30
Teusaquillo,10.0,0.8,85375,11.71,2025-06-30
Puente Aranda,28.0,2.2,128677,21.76,2025-06-30
Los Mártires,16.0,1.2,45219,35.38,2025-06-30
Sumapaz,0.0,0.0,1788,0.0,2025-06-30
Usaquén,39.0,3.0,308081,12.66,2025-06-30
Chapinero,12.0,0.9,86373,13.89,2025-06-30
Santa Fe,31.0,2.4,57117,54.27,2025-06-30
San Cristóbal,107.0,8.3,207856,51.48,2025-06-30
Usme,71.0,5.5,206244,34.43,2025-06-30
Ciudad Bolívar,174.0,13.4,345969,50.29,2025-06-30
Bosa,134.0,10.4,397156,33.74,2025-06-30
Kennedy,139.0,10.7,561439,24.76,2025-06-30
Fontibón,38.0,2.9,207179,18.34,2025-06-30
Engativá,95.0,7.3,436619,21.76,2025-06-30
Suba,111.0,8.6,652069,17.02,2025-06-30
Antonio Nariño,18.0,0.8,42420,42.43,2025-09-30
Tunjuelito,45.0,2.0,91399,49.23,2025-09-30
Rafael Uribe Uribe,135.0,6.1,193309,69.84,2025-09-30
La Candelaria,24.0,1.1,8108,296.0,2025-09-30
Barrios Unidos,23.0,1.0,73470,31.31,2025-09-30
Teusaquillo,21.0,0.9,85375,24.6,2025-09-30
Puente Aranda,59.0,2.6,128677,45.85,2025-09-30
Los Mártires,28.0,1.3,45219,61.92,2025-09-30
Sumapaz,0.0,0.0,1788,0.0,2025-09-30
Usaquén,65.0,2.9,308081,21.1,2025-09-30
Chapinero,20.0,0.9,86373,23.16,2025-09-30
Santa Fe,42.0,1.9,57117,73.53,2025-09-30
San Cristóbal,199.0,8.9,207856,95.74,2025-09-30
Usme,111.0,5.0,206244,53.82,2025-09-30
Ciudad Bolívar,340.0,15.2,345969,98.27,2025-09-30
Bosa,216.0,9.7,397156,54.39,2025-09-30
Kennedy,237.0,10.6,561439,42.21,2025-09-30
Fontibón,66.0,3.0,207179,31.86,2025-09-30
Engativá,153.0,6.9,436619,35.04,2025-09-30
Suba,195.0,8.7,652069,29.9,2025-09-30
Antonio Nariño,30.0,1.0,42420,70.72,2025-12-31
Tunjuelito,61.0,2.0,91399,66.74,2025-12-31
Rafael Uribe Uribe,181.0,5.8,193309,93.63,2025-12-31
La Candelaria,31.0,1.0,8108,382.34,2025-12-31
Barrios Unidos,34.0,1.1,73470,46.28,2025-12-31
Teusaquillo,33.0,1.1,85375,38.65,2025-12-31
Puente Aranda,81.0,2.6,128677,62.95,2025-12-31
Los Mártires,51.0,1.6,45219,112.78,2025-12-31
Sumapaz,0.0,0.0,1788,0.0,2025-12-31
Usaquén,94.0,3.0,308081,30.51,2025-12-31
Chapinero,23.0,0.7,86373,26.63,2025-12-31
Santa Fe,58.0,1.9,57117,101.55,2025-12-31
San Cristóbal,265.0,8.5,207856,127.49,2025-12-31
Usme,163.0,5.2,206244,79.03,2025-12-31
Ciudad Bolívar,498.0,16.0,345969,143.94,2025-12-31
Bosa,293.0,9.4,397156,73.77,2025-12-31
Kennedy,315.0,10.1,561439,56.11,2025-12-31
Fontibón,98.0,3.2,207179,47.3,2025-12-31
Engativá,199.0,6.4,436619,45.58,2025-12-31
Suba,258.0,8.3,652069,39.57,2025-12-31
Antonio Nariño,10.0,0.011,42336,23.62,2026-03-31
Tunjuelito,15.0,0.017,91223,16.44,2026-03-31
Rafael Uribe Uribe,56.0,0.063,192900,29.03,2026-03-31
La Candelaria,4.0,0.004,8067,49.58,2026-03-31
Barrios Unidos,12.0,0.013,73129,16.41,2026-03-31
Teusaquillo,11.0,0.012,84932,12.95,2026-03-31
Puente Aranda,21.0,0.023,128277,16.37,2026-03-31
Los Mártires,18.0,0.02,45013,39.99,2026-03-31
Sumapaz,0.0,0.0,1809,0.0,2026-03-31
Usaquén,33.0,0.037,306618,10.76,2026-03-31
Chapinero,9.0,0.01,85856,10.48,2026-03-31
Santa Fe,11.0,0.012,57223,19.22,2026-03-31
San Cristóbal,54.0,0.06,207660,26.0,2026-03-31
Usme,53.0,0.059,207553,25.54,2026-03-31
Ciudad Bolívar,130.0,0.145,348592,37.29,2026-03-31
Bosa,93.0,0.104,399575,23.27,2026-03-31
Kennedy,115.0,0.128,561526,20.48,2026-03-31
Fontibón,23.0,0.026,206788,11.12,2026-03-31
Engativá,51.0,0.057,435534,11.71,2026-03-31
Suba,65.0,0.073,650123,10.0,2026-03-31
